id,category,percent
dhj7kr,8,43.50850831896093
dhj7kr,11,56.491491681039065
dhj7s9,9,66.22505227533802
dhj7s9,12,33.774947724661985
dhj7ke,11,24.302954915340848
dhj7ke,121,75.69704508465915
dhj7k2,126,100.0
dhj77d,3,51.596873762384355
dhj77d,6,48.40312623761564
dhj7k3,124,40.40933328300012
dhj7k3,125,27.584256313128243
dhj7k3,126,32.00641040387164
dhj7z2,63,61.6280780009822
dhj7z2,65,38.37192199901781
dhje8n,67,100.0
dhje8d,79,52.09238183006758
dhje8d,80,47.90761816993242
dhj6sg,120,100.0
dhj7wc,73,45.09014191577745
dhj7wc,74,54.90985808422254
dhj7ps,90,58.8322158196455
dhj7ps,91,41.16778418035451
dhj7jc,106,36.32311921031695
dhj7jc,108,63.67688078968305
dhj7r1,88,100.0
dhj6y1,119,100.0
dhj6gw,114,34.33107098100236
dhj6gw,115,37.525420451032446
dhj6gw,132,28.14350856796521
dhj6v4,117,45.18175594621371
dhj6v4,118,54.81824405378628
dhj6uu,116,62.49611261767542
dhj6uu,117,37.50388738232457
dhj7my,47,32.30887240636753
dhj7my,49,67.69112759363247
dhj7th,13,46.70878877813464
dhj7th,14,53.29121122186535
dhj7s2,9,39.63280286745909
dhj7s2,10,34.35346959537852
dhj7s2,11,26.013727537162403
dhj7t4,15,51.935530870071666
dhj7t4,18,48.06446912992833
dhj75z,6,35.563197745056506
dhj75z,130,64.4368022549435
dhj757,133,100.0
dhj7q4,50,33.60865158416834
dhj7q4,53,40.80940308293069
dhj7q4,96,25.581945332900975
dhj7sf,12,65.84183962050524
dhj7sf,17,34.15816037949476
dhj7wx,61,45.08607845177973
dhj7wx,62,54.91392154822028
dhj6sg,120,100.0
dhj6g5,134,100.0
dhj7t3,18,62.24429312515144
dhj7t3,38,37.75570687484856
dhj7wh,30,32.3835479268612
dhj7wh,31,33.28681800700857
dhj7wh,33,34.32963406613024
dhj7pc,91,75.67279592093409
dhj7pc,92,24.327204079065908
dhj7su,12,27.23508723716545
dhj7su,13,72.76491276283456
dhj7t5,13,54.345456597877
dhj7t5,15,45.654543402123
dhj7w4,33,100.0
dhj7me,51,39.49758025077752
dhj7me,52,26.45053657679354
dhj7me,54,34.05188317242895
dhj7w8,56,24.202953971234834
dhj7w8,57,34.87961560892455
dhj7w8,73,40.9174304198406
dhj7w6,56,36.85701623044618
dhj7w6,57,63.14298376955383
dhj7kk,11,64.20519031602689
dhj7kk,122,35.794809683973114
dhj7z9,65,100.0
dhj7x5,64,54.99731218159587
dhj7x5,75,45.00268781840412
dhje9j,79,100.0
dhj7z8,65,52.44501570953355
dhj7z8,66,47.55498429046645
dhjeb0,66,60.77449244677321
dhjeb0,67,39.22550755322679
dhj6v6,118,100.0
dhj6ge,115,100.0
dhjdbx,93,100.0
dhj7qk,81,26.893523840304972
dhj7qk,83,45.7245181337614
dhj7qk,84,27.381958025933635
dhj7t0,18,54.57641189364182
dhj7t0,19,45.42358810635819
dhj7mq,39,35.50963819483465
dhj7mq,40,34.058897052492924
dhj7mq,41,30.431464752672422
dhj7mx,39,60.50478401619084
dhj7mx,46,39.49521598380916
dhj7ms,51,41.840983346375396
dhj7ms,52,58.159016653624604
dhj6tj,120,100.0
dhj6us,114,100.0
dhj6g9,115,100.0
dhj6vx,108,36.379574552795965
dhj6vx,113,63.62042544720404
dhj7se,9,47.558885216181565
dhj7se,12,52.44111478381844
dhj76g,1,55.03053893665984
dhj76g,2,44.96946106334016
dhj7t9,37,100.0
dhj7pp,88,55.88191829194006
dhj7pp,89,44.11808170805994
dhjdch,93,100.0
dhj7tm,14,72.29262051571021
dhj7tm,16,27.707379484289778
dhj7qq,55,44.761832285565724
dhj7qq,81,55.23816771443427
dhj7mz,35,57.68137868108655
dhj7mz,47,42.31862131891345
dhj7jg,106,100.0
dhj7jy,100,60.1699654450921
dhj7jy,105,39.8300345549079
dhj7qd,85,24.868693978182712
dhj7qd,86,75.1313060218173
dhj7kp,5,45.03911306239122
dhj7kp,8,21.087613028687738
dhj7kp,10,33.87327390892103
dhj7k4,7,55.1391500316733
dhj7k4,122,44.860849968326704
dhj772,3,22.451839514180296
dhj772,4,24.76650983777266
dhj772,6,24.176662965074826
dhj772,129,28.604987682972222
dhj7kq,8,56.63133308659124
dhj7kq,11,43.36866691340876
dhje99,79,56.45171238761299
dhje99,80,43.548287612387
dhjef9,69,48.03140473705899
dhjef9,70,51.96859526294101
dhje03,92,68.11050175417077
dhje03,93,31.889498245829234
dhj750,134,100.0
dhj7j2,113,100.0
dhj7nn,100,37.08584719295964
dhj7nn,105,62.91415280704036
dhj7m6,45,60.293830080783316
dhj7m6,54,39.706169919216684
dhj7jq,98,51.69309708883188
dhj7jq,111,48.306902911168144
dhj7t2,38,57.424247655099435
dhj7t2,39,42.57575234490057
dhj7w9,57,62.69714935966354
dhj7w9,58,37.30285064033645
dhj7q5,50,62.29742739144568
dhj7q5,53,37.70257260855431
dhj7hz,109,39.28045083725546
dhj7hz,110,60.71954916274455
dhj7ts,22,46.354698601304484
dhj7ts,23,53.64530139869551
dhj7xx,66,100.0
dhj7x1,76,46.92224414780519
dhj7x1,77,53.077755852194805
dhjedk,72,64.04259738702468
dhjedk,79,35.95740261297532
dhjec6,68,100.0
dhjeg3,71,100.0
dhj7wm,59,100.0
dhj7wj,59,27.291647917314105
dhj7wj,60,72.7083520826859
dhj7qh,50,100.0
dhj75s,132,100.0
dhjdch,93,100.0
dhjeb9,68,100.0
dhj6v4,117,40.746028603917125
dhj6v4,118,59.25397139608286
dhj6tt,120,100.0
dhj6s6,120,100.0
dhj7qn,55,54.03962882546457
dhj7qn,81,45.960371174535425
dhj779,6,100.0
dhj7mc,95,100.0
dhj7ne,107,100.0
dhj6xq,108,100.0
dhj7r9,89,100.0
dhj6sv,117,45.22006655555397
dhj6sv,120,54.77993344444604
dhj77v,5,77.18086999561599
dhj77v,7,22.819130004384018
dhj7ns,102,58.81223544690284
dhj7ns,107,41.187764553097175
dhj7pr,88,21.641824983955377
dhj7pr,89,78.35817501604461
dhj7tj,13,50.40141404704892
dhj7tj,14,49.598585952951076
dhj7w5,31,28.623808882565683
dhj7w5,32,26.394605762429933
dhj7w5,33,44.98158535500439
dhj7mb,95,59.599245756301414
dhj7mb,99,40.40075424369859
dhj7r5,87,100.0
dhj7kn,5,75.08034383377472
dhj7kn,10,24.91965616622528
dhj777,3,100.0
dhj7kt,11,73.58565261723354
dhj7kt,121,26.41434738276647
dhje94,79,58.79675254028397
dhje94,80,41.20324745971604
dhjefb,70,100.0
dhj7z0,62,46.810645447111796
dhj7z0,63,53.189354552888204
dhj6uu,114,22.3420250710053
dhj6uu,116,46.00228750657376
dhj6uu,117,31.655687422420936
dhj7pu,90,100.0
dhj77e,5,35.95639974461728
dhj77e,6,64.04360025538271
dhj75w,129,71.6668391141828
dhj75w,131,28.3331608858172
dhjefc,70,100.0
dhj7x4,75,33.851277816318
dhj7x4,77,66.148722183682
dhjeb4,65,57.660596924814264
dhjeb4,66,42.33940307518573
dhje04,92,100.0
dhj7k0,123,41.11078461574442
dhj7k0,124,27.867742004473556
dhj7k0,127,31.021473379782016
dhj77f,6,100.0
dhj7xn,64,100.0
dhj7t1,18,100.0
dhj7sg,12,43.940113046051806
dhj7sg,13,56.059886953948194
dhj6uv,114,60.73054752163517
dhj6uv,116,39.26945247836483
dhj7nq,101,60.74271955103635
dhj7nq,102,39.257280448963655
dhj7jm,98,32.18376901240941
dhj7jm,111,67.81623098759059
dhj753,132,24.28373244000906
dhj753,133,75.71626755999094
