zone_id,municipio,pop,area_km2,pop_density
1,Playa,22344.220438181277,5.623369880249963,3973.4573599110395
2,Playa,5616.199295239438,2.9754320237807415,1887.5239798297248
3,Playa,5848.954723972845,3.5533383174996245,1646.0449868135765
4,Playa,5714.675514064138,4.529658744538693,1261.6128137586948
5,Playa,11582.12490964473,2.861046112010197,4048.21329548828
6,Playa,5525.279905772439,4.061004669406384,1360.5697002510697
7,Playa,4692.297255701752,2.009753908621962,2334.7620997633203
8,Playa,34284.228645275114,1.9594091165742071,17497.22829973201
9,Playa,8837.216251542402,2.0826394485138016,4243.277086606976
10,Playa,6402.242919343668,1.516517182131726,4221.675161203392
11,Playa,59914.63779515267,3.991206637054601,15011.660192910482
12,Plaza de la RevoluciÃ³n,37882.79779415942,1.811260056424673,20915.162160058873
13,Plaza de la RevoluciÃ³n,24995.388661698664,1.3804523934803148,18106.664727989475
14,Plaza de la RevoluciÃ³n,22216.588740858377,1.2769223497757443,17398.543258922597
15,Plaza de la RevoluciÃ³n,14862.856394956489,0.7971293474304747,18645.476349436278
16,Plaza de la RevoluciÃ³n,12589.89751087497,0.9603551271089232,13109.627007225865
17,Plaza de la RevoluciÃ³n,4284.766057219707,0.7895662501154322,5426.734053783691
18,Plaza de la RevoluciÃ³n,16810.73966375196,1.681009798654293,10000.381721278212
19,Plaza de la RevoluciÃ³n,16647.343218776055,0.8758851603051258,19006.30810205386
20,Plaza de la RevoluciÃ³n,9250.67534522766,1.0002406490721307,9248.449714385246
21,Plaza de la RevoluciÃ³n,9146.34284721881,1.7859497491124474,5121.276705441579
22,Centro Habana,19987.477756896646,0.4740872923431316,42159.91037876258
23,Centro Habana,24254.224467385713,0.5486416073290884,44207.77451688502
24,Centro Habana,28466.155995112073,0.5991156116391645,47513.62749040944
25,Centro Habana,12589.157255028616,0.41623842938200895,30245.062364183417
26,Centro Habana,14498.756699387677,0.3759547191539847,38565.16745424661
27,Centro Habana,11376.304610454445,0.30189020796230603,37683.58267478119
28,Centro Habana,9340.122264996488,0.3970741669156321,23522.361924343015
29,Centro Habana,10659.187718217685,0.30161960494489704,35339.83714409087
30,Habana Vieja,12079.208862912074,0.4908913731010632,24606.68393214
31,Habana Vieja,19517.610714737097,0.5375915788289706,36305.64815998807
32,Habana Vieja,7390.019403704135,0.4022588272262009,18371.304502283874
33,Habana Vieja,23615.264590145533,0.8758116182782204,26963.863115416716
34,Habana Vieja,17708.21272063338,0.5550098916893647,31906.120928281667
35,Habana Vieja,2696.973471260339,1.8000006076895159,1498.3180893045248
36,Cerro,8392.513868810402,0.5558427274305695,15098.720293787983
37,Cerro,20147.934826160166,0.6286329263993341,32050.396948761398
38,Cerro,21787.107694620372,0.9911822361269789,21980.93034813959
39,Cerro,17849.771810303922,1.2093575134612404,14759.714651473907
40,Cerro,18109.3093183332,1.002069258945691,18071.913848935532
41,Cerro,14805.523815781931,0.9128796658231504,16218.483519875186
42,Cerro,1670.3740239041697,1.3089086794936804,1276.157802353571
43,Cerro,7118.132298185702,0.7918703775519819,8989.01196454774
44,Cerro,5995.852749005022,1.667897546572421,3594.856747242465
45,Cerro,10294.01045755905,1.2672209804945427,8123.295475696539
46,10 de Octubre,33465.21300977947,1.3807893448910544,24236.291461547968
47,10 de Octubre,20226.89849866063,0.7367636807139974,27453.71280932137
48,10 de Octubre,10759.008763113445,0.6395388412729405,16823.073234611795
49,10 de Octubre,26216.42503714785,1.4040019369760623,18672.641644364645
50,10 de Octubre,27265.44811448229,2.11138505944045,12913.536539710125
51,10 de Octubre,21881.745354029707,1.4589595348573758,14998.185234910447
52,10 de Octubre,28181.67363219149,1.386963384211111,20318.974497095973
53,10 de Octubre,11473.750033234723,1.4843525285470593,7729.801251772492
54,10 de Octubre,22839.841438996766,1.7483019242968632,13064.014356777967
55,Regla,1427.8585442747299,1.9966734242499922,715.1187204342515
56,Regla,9415.27723122355,0.9501260349969294,9909.503459984631
57,Regla,20403.250892248816,1.4645282877833334,13931.619527220311
58,Regla,3381.1106717312305,2.445709149954735,1382.466378634519
59,Regla,7433.956776666583,3.2111616058532024,2315.0366406711532
60,Habana del Este,1581.8767852370443,2.5853531563237206,611.8610068291081
61,Habana del Este,6554.85103090744,1.1857032181594171,5528.239217468451
62,Habana del Este,7391.754636236435,4.216516473400992,1753.0477309565292
63,Habana del Este,17058.362261855018,2.66739607247907,6395.136604516714
64,Habana del Este,20013.978864325843,2.1676380085404143,9233.081716352777
65,Habana del Este,51349.792807368554,4.9640899746749625,10344.25102472701
66,Habana del Este,37713.1201981615,5.962958172084717,6324.5656115304555
67,Habana del Este,4546.743325732258,10.76141701009792,422.50414805651013
68,Habana del Este,1876.46042700053,16.865770632367553,111.25850504567899
69,Habana del Este,2508.406627589879,6.001878000405972,417.93695696917007
70,Habana del Este,8763.979053927093,6.182335967406303,1417.5837580052894
71,Habana del Este,4607.172693066164,5.304681884631332,868.5106464939992
72,Habana del Este,9354.66791929208,74.63817612985396,125.33355454743457
73,Guanabacoa,12714.611725367464,4.388051230461758,2897.5531637148856
74,Guanabacoa,11263.608939904094,1.1734880359089168,9598.401172603302
75,Guanabacoa,3452.6458142736997,0.6992111927674426,4937.915539664492
76,Guanabacoa,10527.071539199913,0.741806736128903,14191.1242194094
77,Guanabacoa,17163.833272386462,1.3828020450348808,12412.357454933841
78,Guanabacoa,14809.64122046778,3.4832093725989783,4251.72294751195
79,Guanabacoa,10188.57475328741,29.598815381768123,344.22238261478634
80,Guanabacoa,29300.982447892682,88.10512440832879,332.56842487498704
